#   t       A         dt       dA     Velocity
2.54e-01 -6.35e-01  1.e-01  1.92e-01  -2.5
7.51e-01  3.60e-01  1.e-01  1.46e-01  2.00201
1.05e+00  3.10e-01  1.e-01  7.92e-02  -0.167224
1.87e+00  4.65e-01  1.e-01  1.17e-01  0.189024
2.31e+00 -2.66e-01  1.e-01  8.76e-02  -1.66136
2.88e+00  2.37e-01  1.e-01  7.06e-02  0.882456
3.34e+00 -2.12e-01  1.e-01  5.52e-02  -0.976087
3.77e+00  1.01e-01  1.e-01  3.68e-02  0.727907
4.32e+00 -8.64e-02  1.e-01  3.28e-02  -0.340727
4.95e+00  1.21e-01  1.e-01  2.20e-02  0.329206
5.10e+00  1.95e-02  1.e-01  4.03e-03  -0.676667
6.01e+00  3.76e-02  1.e-01  9.41e-03  0.0198901
6.35e+00 -3.14e-02  1.e-01  1.23e-02  -0.202941
6.84e+00  4.93e-02  1.e-01  9.57e-03  0.164694
7.33e+00 -1.97e-02  1.e-01  7.37e-03  -0.140816
7.95e+00  2.29e-02  1.e-01  5.08e-03  0.0687097
8.28e+00 -9.55e-03  1.e-01  3.97e-03  -0.0983333
9.01e+00  6.61e-03  1.e-01  2.23e-03  0.022137
9.47e+00 -4.94e-03  1.e-01  2.15e-03  -0.0251087
1.01e+01 -1.35e-03  1.e-01  4.24e-04  0.00569841
